id	s7	s9	s10	s11	s12	s13	s14	s15	s16	s17	s19	s20	s21
IPI00853557.2	1.791	0.83	0.619	0.709	0.143	0.055	0.604	0.051	0.149	0	0	0	0
IPI00431083.3	0.281	0.35	0.715	0.418	0.249	0.288	0.643666667	0.062	0.153	0.072	0.105	0.194	0.179
IPI00171491.3	1.226	0.623	0.692	0.566	0.234	0.285	0.676666667	0.083	0.34	0.233	0.181	0.417	0.364
IPI00307688.2	0.838	0.666	0.738	0.417	0.287	0.784	0.734333333	0.104	0.43	0.651	0.581	0.795	0.8
IPI00793542.1	1.1	0.727	0.93	0.622	0.293	0.348	0.803333333	0.11	0.204	0.314	0.261	0.423	0.401
IPI00022295.1	0.435	0.564	0.838	0.494	0.311	0.184	0.75	0.145	0.619	0.519	0.436	0.666	0.741
IPI00217948.6	0.928	0.699	0.898	0.685	0.328	0.213	0.753666667	0.15	0.623	0.571	0.417	0.679	0.827
IPI00604537.2	0	0	0	0	0.357	0.231	0.682	0.151	0.452	0	0	0	0
IPI00398117.7	0.649	0.673	0.79	0.681	0.326	0.293	0.753	0.154	0.262	0	0	0	0
IPI00941179.1	1.058	0.826	0.86	0.652	0.419	0.341	0.845666667	0.167	0.344	0.478	0.441	0.588	0.58
IPI00797626.1	0.455	0.514	0.947	0.436	0.295	0.557	0.707333333	0.171	0.309	0.302	0.239	0.367	0.264
IPI00887172.3	0.669	0.721	0.897	0.688	0.325	0.46	0.7605	0.173	0.337	0	0	0	0
IPI00022445.1	0.79	0.626	0.843	0.55	0.361	0.281	0.789333333	0.175	0.75	0.452	0.422	0.724	0.832
IPI00013976.3	0.859	0.661	0.873	0.595	0.422	0.12	0.5915	0.181	0.66	0	0	0	0
IPI00745872.2	0.718	0.489	0.542	0.405	0.284	0.3	0.506333333	0.182	0.427	0.357	0.273	0.399	0.497
IPI00298971.1	1.004	0.707	0.837	0.682	0.389	0.477	0.74	0.188	0.547	0.43	0.397	0.632	0.582
IPI00218640.5	1.066	0.881	0.915	0.826	0.393	0.706	0.8055	0.188	0.339	0	0	0	0
IPI00183054.1	0.85	0.624	0.799	0.498	0.357	0.448	0.625	0.193	0.717	0.381	0.412	0.742	0.698
IPI00099977.2	0.532	0.573	0.793	0.451	0.413	0.512	0.867333333	0.198	0.557	0.615	0.485	0.697	1.038
IPI00917579.1	0.694	0.608	0.799	0.626	0.392	0.348	0.711666667	0.201	0.578	0.403	0.338	0.481	0.544
IPI00644745.1	0.235	0.356	0.209	0.184	0.164	0.226	0.461666667	0.204	0.426	0.16	0.289	0.369	0.436
IPI00396230.2	0.844	0.718	0.49	0.53	0.177	0.271	0.582666667	0.206	0.529	0.18	0.3	0.447	0.431
IPI00909593.1	1.268	1.548	0.582	0.969	0.424	0.611	0.814	0.207	0.357	0.151	0.286	0.282	0.277
